state_name,city_name,category,description,latitude,longitude,best_time_to_visit,popular_months,tourist_rating,risk_index,photos,top_attractions
Andhra Pradesh,Tirupati,Religious,Famous for Tirumala Venkateswara Temple,13.6328,79.4192,October - February,"October,November,December",4.8,0.2,"url1.jpg,url2.jpg","[{""name"": ""Tirumala Temple"", ""description"": ""One of the richest religious sites.""}]"
Andhra Pradesh,Visakhapatnam,Beach,Coastal city popular for beaches and parks,17.6868,83.2185,November - March,"December,January,February",4.5,0.18,"url3.jpg,url4.jpg","[{""name"": ""Rama Krishna Beach"", ""description"": ""Popular beach with promenades.""}]"
Andhra Pradesh,Araku Valley,Hill Station,Hill station known for coffee plantations and scenic beauty,18.3333,82.8167,October - March,"October,November,December",4.6,0.15,"url5.jpg,url6.jpg","[{""name"": ""Borra Caves"", ""description"": ""Ancient limestone caves.""}]"
Andhra Pradesh,Vijayawada,Cultural,Famous for Kanaka Durga temple and commercial trade,16.5062,80.648,November - February,"November,December,January",4.4,0.22,"url7.jpg,url8.jpg","[{""name"": ""Kanaka Durga Temple"", ""description"": ""Popular Hindu temple.""}]"
Andhra Pradesh,Amaravati,Heritage,New capital with archaeological sites and museums,16.5416,80.5151,October - March,"October,November,December",4.0,0.13,,"[{""name"": ""Amaravati Stupa"", ""description"": ""Ancient Buddhist monument.""}]"
Andhra Pradesh,Srisailam,Religious,"Known for Mallikarjuna Temple, one of the twelve Jyotirlingas",16.0719,78.8639,October - February,"October,November,December",4.4,0.2,,"[{""name"": ""Mallikarjuna Temple"", ""description"": ""Jyotirlinga temple.""}]"
Andhra Pradesh,Lepakshi,Heritage,Known for Veerabhadra temple and hanging pillar,14.4583,77.6743,October - March,"October,November,February",4.1,0.19,,"[{""name"": ""Veerabhadra Temple"", ""description"": ""Architectural marvel.""}]"
Andhra Pradesh,Kurnool,Historical,Famous for Konda Reddy Fort and Oravakallu Rock Garden,15.8281,78.0373,October - February,"October,November,December",3.9,0.25,,"[{""name"": ""Konda Reddy Fort"", ""description"": ""Heritage fort.""}]"
Andhra Pradesh,Horsley Hills,Hill Station,Known for pleasant climate and scenic hill views,13.3697,78.4799,November - February,"November,December,January",4.0,0.15,,"[{""name"": ""Horsley Hills Viewpoint"", ""description"": ""Panoramic views.""}]"
Andhra Pradesh,Nellore,Commercial,Known for lakes and temples,14.4446,79.9865,October - February,"October,November,December",3.8,0.22,,"[{""name"": ""Pulicat Lake"", ""description"": ""Backwater ecosystem.""}]"
Arunachal Pradesh,Tawang,Religious,Famous for Tawang Monastery,27.5867,91.8668,April - June,"April,May,June",4.6,0.18,,"[{""name"": ""Tawang Monastery"", ""description"": ""Second largest monastery.""}]"
Arunachal Pradesh,Ziro Valley,Nature,Known for scenic landscapes and Apatani tribe,27.6151,93.837,March - May,"March,April,May",4.3,0.15,,"[{""name"": ""Ziro Valley"", ""description"": ""Mesmerizing scenic valley.""}]"
Arunachal Pradesh,Itanagar,Capital,Capital city of Arunachal Pradesh,27.0844,93.6053,March - June,"March,April,May,June",4.0,0.12,,"[{""name"": ""Itanagar"", ""description"": ""Urban capital city.""}]"
Arunachal Pradesh,Bomdila,Hill Station,Known for scenic beauty and apple orchards,27.3167,92.4673,April - June,"April,May,June",4.2,0.14,,"[{""name"": ""Bomdila"", ""description"": ""Hill station attraction.""}]"
Arunachal Pradesh,Namdapha National Park,Nature,Biodiverse protected area,27.2833,96.0833,October - February,"October,November,December,January",4.7,0.1,,"[{""name"": ""Namdapha National Park"", ""description"": ""Wildlife sanctuary.""}]"
Arunachal Pradesh,Roing,Town,Gateway town to the Dibang Valley,28.0975,95.5253,March - June,"March,April,May,June",3.8,0.12,,"[{""name"": ""Roing"", ""description"": ""Trade and cultural center.""}]"
Arunachal Pradesh,Mechuka,Remote Valley,Scenic valley with indigenous tribes,29.825,95.3492,April - June,"April,May,June",3.9,0.13,,"[{""name"": ""Mechuka"", ""description"": ""Peaceful remote valley.""}]"
Arunachal Pradesh,Pasighat,Town,Oldest town of Arunachal Pradesh,28.0675,95.345,March - June,"March,April,May,June",4.1,0.11,,"[{""name"": ""Pasighat"", ""description"": ""Historic trading town.""}]"
Arunachal Pradesh,Dirang,Hill Station,Known for hot springs and scenic views,27.575,92.2769,April - June,"April,May,June",4.2,0.13,,"[{""name"": ""Dirang"", ""description"": ""Hot springs and mountain views.""}]"
Arunachal Pradesh,Bhalukpong,Wildlife,Near the border with Assam famous for wildlife escapes,27.0395,92.1252,October - February,"October,November,December,January",4.3,0.14,,"[{""name"": ""Bhalukpong"", ""description"": ""Wildlife and nature reserve.""}]"
Assam,Guwahati,Urban,"Largest city in Assam, gateway to Northeast India.",26.1445,91.7362,October - March,"October,November,December,January,February",4.3,0.22,,"[{""name"": ""Kamakhya Temple"", ""description"": ""Ancient Hindu temple.""}]"
Assam,Kaziranga National Park,Wildlife,World heritage site famous for one-horned rhinoceros.,26.5775,93.1711,November - April,"November,December,January,February,March,April",4.7,0.15,,"[{""name"": ""Kaziranga NP"", ""description"": ""UNESCO site with rich biodiversity.""}]"
Assam,Majuli Island,Nature,One of the world's largest river islands in the Brahmaputra.,26.9564,94.1503,November - March,"November,December,January,February,March",4.0,0.12,,"[{""name"": ""Majuli Island"", ""description"": ""Cultural and natural beauty.""}]"
Assam,Sivasagar,Historical,Historical town with Ahom dynasty monuments.,26.9832,94.6478,October - March,"October,November,December,January,February,March",4.2,0.25,,"[{""name"": ""Sivasagar"", ""description"": ""Ancient temples and palaces.""}]"
Assam,Tezpur,Cultural,Known for ancient temples and natural beauty.,26.633,92.7991,October - March,"October,November,December,January,February,March",4.0,0.2,,"[{""name"": ""Tezpur"", ""description"": ""Cultural and natural attractions.""}]"
Assam,Jorhat,Urban,Known as the Tea Capital of the world.,26.7466,94.2044,October - March,"October,November,December,January,February,March",4.1,0.17,,"[{""name"": ""Jorhat"", ""description"": ""Tea gardens and cultural sites.""}]"
Assam,Manas National Park,Wildlife,Biosphere reserve and UNESCO World Heritage Site.,26.8027,91.0505,November - April,"November,December,January,February,March,April",4.8,0.1,,"[{""name"": ""Manas NP"", ""description"": ""Rich wildlife and birds.""}]"
Assam,Haflong,Hill Station,Only hill station in Assam.,26.7584,92.6615,October - March,"October,November,December,January,February,March",4.0,0.15,,"[{""name"": ""Haflong"", ""description"": ""Beautiful landscapes.""}]"
Assam,Hajo,Religious,Known for temples and mosques.,26.157,91.4767,October - March,"October,November,December,January,February,March",3.8,0.2,,"[{""name"": ""Hajo"", ""description"": ""Religious significance.""}]"
Assam,Dibrugarh,Urban,Known for oilfields and tea gardens.,27.4728,94.9114,October - March,"October,November,December,January,February,March",4.0,0.18,,"[{""name"": ""Dibrugarh"", ""description"": ""Commercial and cultural hub.""}]"
Bihar,Patna,Urban,Capital city known for rich history.,25.5941,85.1376,October - March,"October,November,December,January,February,March",4.0,0.25,,"[{""name"": ""Golghar"", ""description"": ""Granary built by British.""}]"
Bihar,Bodh Gaya,Religious,Place where Buddha attained enlightenment.,24.695,84.9911,October - March,"October,November,December,January,February,March",4.8,0.12,,"[{""name"": ""Mahabodhi Temple"", ""description"": ""UNESCO World Heritage Site.""}]"
Bihar,Nalanda,Historical,Home to ancient Nalanda University ruins.,25.1467,85.4431,October - March,"October,November,December,January,February,March",4.5,0.14,,"[{""name"": ""Nalanda Ruins"", ""description"": ""Ancient Buddhist university.""}]"
Bihar,Rajgir,Historical,Includes hot springs and ancient ruins.,25.0364,85.4224,October - March,"October,November,December,January,February,March",4.3,0.15,,"[{""name"": ""Rajgir"", ""description"": ""Historic city and hill station.""}]"
Bihar,Vaishali,Historical,Ancient city and archaeological site.,26.21,85.1271,October - March,"October,November,December,January,February,March",4.2,0.16,,"[{""name"": ""Vaishali"", ""description"": ""Ancient city of Buddhist significance.""}]"
Bihar,Vikramshila,Historical,Remains of Vikramshila University.,26.4333,87.1167,October - March,"October,November,December,January,February,March",4.0,0.18,,"[{""name"": ""Vikramshila University Ruins"", ""description"": ""Ancient university.""}]"
Bihar,Pawapuri,Religious,Important Jain pilgrimage site.,25.0417,85.3667,October - March,"October,November,December,January,February,March",4.1,0.14,,"[{""name"": ""Pawapuri"", ""description"": ""Jain pilgrimage center.""}]"
Bihar,Kesaria Stupa,Historical,Largest Buddhist stupa in India.,26.95,84.9167,October - March,"October,November,December,January,February,March",4.0,0.2,,"[{""name"": ""Kesaria Stupa"", ""description"": ""Ancient Buddhist stupa.""}]"
Bihar,Sasaram,Historical,Known for Sher Shah Suri's tomb.,24.9467,84.0173,October - March,"October,November,December,January,February,March",3.8,0.22,,"[{""name"": ""Sher Shah Suri Tomb"", ""description"": ""Historic mausoleum.""}]"
