state_name,city_name,category,description,latitude,longitude,best_time_to_visit,popular_months,tourist_rating,risk_index,photos,top_attractions,Visitors_2020,Visitors_2021,Visitors_2022,Visitors_2023,Visitors_2024,Visitors_2025,flood_risk,landslide_risk,earthquake_zone,crime_rate,accident_rate,health_alerts,safety_suggestions,cyclone_risk,drought_risk,forest_fire_risk
Andhra Pradesh,Tirupati,Religious,Famous for Tirumala Venkateswara Temple,13.6328,79.4192,October - February,"October,November,December",4.8,0.2,"url1.jpg,url2.jpg","[{""name"": ""Tirumala Temple"", ""description"": ""One of the richest and most visited religious sites in the world, dedicated to Lord Venkateswara. Devotees from across the globe visit to seek blessings and witness the grand rituals.""},{""name"": ""Sri Govindarajaswami Temple"", ""description"": ""An ancient and architecturally splendid temple dedicated to Lord Vishnu, known for its intricate carvings and serene spiritual atmosphere.""},{""name"": ""Kapila Theertham"", ""description"": ""A sacred waterfall temple dedicated to Lord Shiva, located at the foot of the Tirumala Hills, surrounded by lush greenery and tranquil vibes.""}]",233852,135516,74948,156105,164461,149328,3,3,2,1.76,1.6,2,4,1,3,3
Andhra Pradesh,Visakhapatnam,Beach,Coastal city popular for beaches and parks,17.6868,83.2185,November - March,"December,January,February",4.5,0.18,"url3.jpg,url4.jpg","[{""name"": ""Rama Krishna Beach"", ""description"": ""One of the most popular beaches in Andhra Pradesh, perfect for evening walks, street food, and scenic views of the Bay of Bengal.""},{""name"": ""Kailasagiri Hill Park"", ""description"": ""A lush green hilltop park offering breathtaking panoramic views of the city and sea, featuring giant statues of Shiva and Parvati.""},{""name"": ""Submarine Museum"", ""description"": ""India’s first submarine museum, INS Kurusura, gives visitors a glimpse into naval history with guided tours inside the actual submarine.""}]",242512,55076,154975,90254,240783,316130,1,1,4,3.27,2.25,3,2,3,2,2
Andhra Pradesh,Araku Valley,Hill Station,Hill station known for coffee plantations and scenic beauty,18.3333,82.8167,October - March,"October,November,December",4.6,0.15,"url5.jpg,url6.jpg","[{""name"": ""Borra Caves"", ""description"": ""Magnificent natural limestone caves with stalactites and stalagmites formations illuminated with colorful lights, creating a surreal underground world.""},{""name"": ""Padmapuram Gardens"", ""description"": ""Beautifully landscaped botanical gardens featuring a variety of plants, tree-top huts, and toy train rides, ideal for families and nature lovers.""},{""name"": ""Araku Tribal Museum"", ""description"": ""A cultural museum showcasing the art, artifacts, tools, and traditions of the indigenous tribes inhabiting the Araku region.""}]",225271,74421,189329,68046,354360,346315,3,1,2,6.49,1.8,0,2,2,2,3
Andhra Pradesh,Vijayawada,Culture,Famous for Kanaka Durga temple and commercial trade,16.5062,80.648,November - February,"November,December,January",4.4,0.22,"url7.jpg,url8.jpg","[{""name"": ""Kanaka Durga Temple"", ""description"": ""One of the most revered Hindu temples in South India, situated on Indrakeeladri Hill overlooking the Krishna River, dedicated to Goddess Durga.""},{""name"": ""Prakasam Barrage"", ""description"": ""An iconic bridge and dam across the Krishna River, offering spectacular views during sunset and connecting three major districts.""},{""name"": ""Bhavani Island"", ""description"": ""A scenic island retreat in the Krishna River known for boating, water sports, and peaceful picnic spots.""}]",111035,243778,304817,173368,131666,366247,3,2,4,7.77,2.1,3,4,1,3,3
Andhra Pradesh,Amaravati,Heritage,New capital with archaeological sites and museums,16.5416,80.5151,October - March,"October,November,December",4.0,0.13,,"[{""name"": ""Amaravati Stupa"", ""description"": ""A monumental Buddhist site dating back to the 2nd century BCE, with intricate carvings depicting the life of Buddha and ancient relics.""},{""name"": ""Amaralingeswara Temple"", ""description"": ""An ancient temple on the banks of the Krishna River, dedicated to Lord Shiva and revered as one of the Pancharama Kshetras.""},{""name"": ""Archaeological Museum"", ""description"": ""A well-curated museum that preserves ancient Buddhist sculptures, coins, and inscriptions discovered from Amaravati and nearby areas.""}]",58210,255387,107114,322004,170443,366876,1,1,2,5.08,3.74,2,2,3,1,1
Andhra Pradesh,Srisailam,Religious,"Known for Mallikarjuna Temple, one of the twelve Jyotirlingas",16.0719,78.8639,October - February,"October,November,December",4.4,0.2,,"[{""name"": ""Mallikarjuna Temple"", ""description"": ""A prominent Jyotirlinga shrine dedicated to Lord Shiva and Goddess Parvati, featuring ancient Dravidian architecture and a deeply spiritual aura.""},{""name"": ""Srisailam Dam"", ""description"": ""A massive multipurpose dam built across the Krishna River, surrounded by lush forests and offering boat rides with scenic views.""},{""name"": ""Akkamahadevi Caves"", ""description"": ""Mysterious natural caves named after the saint Akkamahadevi, accessible by boat through the reservoir, known for their spiritual and geological significance.""}]",94363,203766,225088,181843,334360,229578,1,2,5,5.22,1.84,0,3,3,2,3
Andhra Pradesh,Lepakshi,Heritage,Known for Veerabhadra temple and hanging pillar,14.4583,77.6743,October - March,"October,November,February",4.1,0.19,,"[{""name"": ""Veerabhadra Temple"", ""description"": ""An exquisite 16th-century temple built in Vijayanagara style, renowned for its hanging pillar and detailed carvings depicting mythological stories.""},{""name"": ""Nandi Bull Statue"", ""description"": ""A massive monolithic sculpture of Nandi, the bull mount of Lord Shiva, carved from a single granite rock and among the largest in India.""},{""name"": ""Lepakshi Handicrafts"", ""description"": ""A cultural hub showcasing Andhra’s traditional arts, Kalamkari paintings, and handwoven textiles crafted by local artisans.""}]",292247,124261,123740,207830,237114,364378,3,1,3,2.25,3.05,2,1,2,1,3
Andhra Pradesh,Kurnool,Historical,Famous for Konda Reddy Fort and Oravakallu Rock Garden,15.8281,78.0373,October - February,"October,November,December",3.9,0.25,,"[{""name"": ""Konda Reddy Fort"", ""description"": ""A historic fort symbolizing Kurnool’s legacy, known for its underground passages and commanding views of the Tungabhadra River.""},{""name"": ""Oravakallu Rock Garden"", ""description"": ""A natural rock formation park featuring unique red rock structures, ideal for photography and picnics.""},{""name"": ""Belum Caves"", ""description"": ""India’s second-longest cave system, famous for its stalactite formations, deep chambers, and mysterious underground streams.""}]",128279,162693,260362,179494,140352,286985,2,2,2,4.63,2.64,2,1,1,1,2
Andhra Pradesh,Horsley Hills,Hill Station,Known for pleasant climate and scenic hill views,13.3697,78.4799,November - February,"November,December,January",4.0,0.15,,"[{""name"": ""Horsley Hills Viewpoint"", ""description"": ""Offers stunning panoramic views of the Eastern Ghats, often covered in mist, providing a calm escape from the city heat.""},{""name"": ""Whisper Wind View Point"", ""description"": ""A serene viewpoint surrounded by dense vegetation, offering an ideal spot to watch sunrise and sunset over the hills.""},{""name"": ""Gangotri Lake"", ""description"": ""A small but scenic lake nestled amidst greenery, adding charm to the tranquil beauty of the hills.""}]",241420,90922,325312,61750,358450,177103,3,3,4,5.23,3.49,1,1,1,2,1
Andhra Pradesh,Nellore,Urban,Known for lakes and temples,14.4446,79.9865,October - February,"October,November,December",3.8,0.22,,"[{""name"": ""Pulicat Lake"", ""description"": ""One of India’s largest saltwater lakes, supporting a rich ecosystem of birds, fish, and mangroves, perfect for nature photography.""},{""name"": ""Ranganatha Temple"", ""description"": ""An ancient Dravidian-style temple dedicated to Lord Vishnu, known for its seven golden gopurams and serene surroundings.""},{""name"": ""Mypadu Beach"", ""description"": ""A peaceful coastal retreat offering soft sands, gentle waves, and local seafood delicacies.""}]",236356,90619,119111,202756,83462,140076,3,1,5,3.2,4.72,0,1,1,2,1
